"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","race","democrat","republican","states","forborn","citizen","respid","discrimination","micro_aggression"
"1",0,0.560975609756098,0.6,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,1,0.75,0.75,"AAPI",0,0,"HI",0,1,800000443,0,0.222222222222222
"2",0,0.341463414634146,0.4,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,1,1,1,0.75,1,0,0.75,"AAPI",1,0,"CA",0,1,650000095,0,0
"3",1,0.463414634146341,0.4,1,0.833333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0.5,0.5,0,"AAPI",0,0,"HI",0,1,600000519,0,0.333333333333333
"4",1,0.634146341463415,1,1,0.333333333333333,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,1,1,1,1,"AAPI",0,0,"HI",0,1,850000172,0.5,0.111111111111111
"5",0,0.621951219512195,1,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.75,0.75,1,1,0.25,0.75,"AAPI",1,0,"HI",0,1,600000539,0,0.222222222222222
"6",1,0.74390243902439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,1,1,0,1,1,0.25,0,0,"AAPI",0,1,"HI",1,1,800000553,0,0.111111111111111
"7",0,0.51219512195122,0.8,1,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.75,0.75,1,1,0.25,0.75,"AAPI",1,0,"HI",0,1,800000709,0.166666666666667,0.111111111111111
"8",0,0.597560975609756,0.8,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,1,1,0.75,0,0.75,"AAPI",0,0,"HI",0,1,800000362,0,0.111111111111111
"9",0,0.109756097560976,0.4,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,0,0.75,1,0.75,1,0,0.75,"AAPI",0,0,"HI",0,1,800000289,0.333333333333333,0.888888888888889
"10",1,0.658536585365854,0.4,1,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75,1,0.75,0.75,0,0.5,"AAPI",1,0,"HI",0,1,600000427,0,0.111111111111111
"11",0,0.682926829268293,0.4,1,0.166666666666667,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,0,1,1,1,1,1,0,1,"AAPI",0,1,"HI",1,1,800000527,0,0.444444444444444
"12",0,0.646341463414634,0.2,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.75,1,"AAPI",1,0,"HI",0,1,600000499,0,0
"13",0,0.329268292682927,0.4,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.75,0.75,1,0.75,0,0.75,"AAPI",0,0,"HI",0,1,800000751,0,0.222222222222222
"14",0,0.524390243902439,0.4,1,0.166666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.75,1,1,0.75,0,1,"AAPI",1,0,"HI",1,1,800000616,0,0.111111111111111
"15",0,0.658536585365854,0.8,1,0.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.75,0.75,1,1,0,1,"AAPI",1,0,"HI",0,1,800000240,0.333333333333333,0.111111111111111
"16",0,0.0609756097560976,0.6,0,0.166666666666667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.25,0.75,0.25,0.75,0,0.75,"AAPI",0,1,"CA",0,1,650000146,0.166666666666667,0.111111111111111
"17",0,0.475609756097561,0.4,1,0.166666666666667,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,1,0.5,1,1,1,0,1,"AAPI",1,0,"HI",0,1,800000127,0.333333333333333,0.555555555555556
"18",0,0.658536585365854,0.6,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.75,1,0,0.75,"AAPI",1,0,"HI",0,1,850000375,0,0.111111111111111
"19",0,0.365853658536585,0.4,0,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0.75,1,1,1,1,"AAPI",0,0,"HI",0,1,600000571,0.166666666666667,0.111111111111111
"20",1,0.439024390243902,1,1,0.666666666666667,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.75,1,0.25,1,0,1,"AAPI",0,0,"HI",0,1,800000265,0.5,0.777777777777778
"21",0,0.524390243902439,0.4,1,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0.25,1,1,1,0,1,"AAPI",1,0,"HI",0,1,600000505,0,0
"22",0,0.695121951219512,0.6,1,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,"AAPI",1,0,"CA",0,1,800000175,0,0.111111111111111
"23",0,0.548780487804878,0.8,1,0.833333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,1,0.75,0.75,1,0.75,0.25,1,"AAPI",1,0,"CA",1,1,800000417,0,0.222222222222222
"24",1,0.707317073170732,1,1,0.833333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,1,1,0,0.25,0.75,0.75,0.75,0,0.75,"AAPI",1,0,"CA",0,1,650000294,0,0.333333333333333
"25",1,0.634146341463415,0.6,1,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,1,0,1,0.25,1,0.5,0.75,0.5,"AAPI",0,0,"HI",0,1,800000254,0,0
"26",0,0.646341463414634,0.6,0,0.166666666666667,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,1,0.5,0.5,1,1,0.25,1,"AAPI",1,0,"NV",0,1,650000283,0.333333333333333,0.222222222222222
"27",1,0.170731707317073,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,"AAPI",0,0,"VA",0,1,1350000158,1,1
"28",0,0.414634146341463,1,1,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0,0,0.75,1,1,0,1,"AAPI",1,0,"HI",0,1,600000525,0,0.111111111111111
